A,B,C,D
1,2,1,2
2,3,6,2.1
3,2,3,4.65
4,3,4,5.625
3,2,7,9.2125
2,3,2,8.30625
1,2,4,7.353125
2,3,3,5.0765625
3,2,6,5.83828125
4,3,3,6.519140625
3,2,1,9.559570313
2,3,6,7.879785156
1,2,4,7.539892578
2,3,2,5.169946289
3,2,6,5.784973145
4,3,4,6.492486572
1,2,1,9.646243286
2,3,6,5.923121643
3,2,3,6.561560822
4,3,4,6.580780411
3,2,7,9.690390205
2,3,2,8.545195103
1,2,4,7.472597551
2,3,3,5.136298776
3,2,6,5.868149388
4,3,3,6.534074694
3,2,1,9.567037347
2,3,6,7.883518673
1,2,4,7.541759337
2,3,2,5.170879668
3,2,6,5.785439834
4,3,4,6.492719917
1,2,1,9.646359959
2,3,6,5.923179979
3,2,3,6.56158999
4,3,4,6.580794995
3,2,7,9.690397497
2,3,2,8.545198749
1,2,4,7.472599374
2,3,3,5.136299687
3,2,6,5.868149844
4,3,3,6.534074922
3,2,1,9.567037461
2,3,6,7.88351873
1,2,4,7.541759365
2,3,2,5.170879683
3,2,6,5.785439841
4,3,4,6.492719921
1,2,1,9.64635996
2,3,6,5.92317998
3,2,3,6.56158999
4,3,4,6.580794995
3,2,7,9.690397498
2,3,2,8.545198749
1,2,4,7.472599374
2,3,3,5.136299687
3,2,6,5.868149844
4,3,3,6.534074922
3,2,1,9.567037461
2,3,6,7.88351873
1,2,4,7.541759365
2,3,2,5.170879683
3,2,6,5.785439841
4,3,4,6.492719921
